start,,,end,,,
1,,,0.97,,,
,cmd_vel,pose,cmd_vel + scan,pose + scan,cmd_vel + rgbd,pose + rgbd
0,0,0,0,0,0,0
0.1,0.02,,0.0069063758,0.034465197,,0.1172657914
0.2,0.04,0.0371670723,0.0224866596,,,
0.3,0.06,,0.0392632361,0.0711022387,,
0.4,0.08,0.0741047263,0.0563569912,,,
0.5,0.1,0.1130697727,0.0710049918,0.108201381,,
0.6,0.12,,0.1052211415,,,
0.7,0.14,0.1516419649,0.1215715902,0.1435875835,,
0.8,0.16,,0.13855909,,0.2651382885,
0.9,0.18,0.1885138154,0.1544443418,0.1819678087,,
1,0.2,,0.1866494762,,,
1.1,0.22,0.2277396917,,0.2187682631,,
1.2,0.24,,,,,
1.3,0.26,0.2666388154,0.2541679025,0.2555090529,,
1.4,0.28,,0.270668636,,,
1.5,0.3,0.3017787337,0.2855994355,0.2884170581,0.0828772276,
1.6,0.32,,0.3025596476,0.3279861816,,
1.7,0.34,0.3367234468,0.3323087616,,,
1.8,0.36,,0.3502405539,0.3634070365,,
1.9,0.38,0.3737272024,0.36657198,,,
2,0.4,0.4085059166,,0.3992276958,,
2.1,0.42,,,,,0.642858991
2.2,0.44,0.4451829195,,0.4354266932,,
2.3,0.46,,,,,
2.4,0.48,0.4786226749,,0.4764365951,,
2.5,0.5,,,,,
2.6,0.52,0.5135993958,,0.5167071451,,
2.7,0.54,,,,,
2.8,0.56,0.5528253913,,0.550086541,,
2.9,0.58,,,,,
3,0.6,0.5895680785,0.5773577027,0.5913849074,,0.9131202756
3.1,0.62,,0.5983799394,,,
3.2,0.64,0.6303626299,0.6135492945,0.6297048432,,
3.3,0.66,0.6650782227,0.6475258509,0.6634942484,0.5878363918,
3.4,0.68,,0.6646562899,,,
3.5,0.7,0.7018842101,,0.6977324711,0.80620975,
3.6,0.72,,,,,
3.7,0.74,0.7392466664,,0.7312202089,,
3.8,0.76,,,,,
3.9,0.78,0.7723279595,,0.7711996471,,
4,0.8,0.8075333238,,,,1.0997401157
4.1,0.82,,,0.8076793154,,
4.2,0.84,0.8423147798,,0.8447035526,,
4.3,0.86,,,,,
4.4,0.88,0.8773571849,,0.8802801362,,
4.5,0.9,0.9100453258,,,,
4.6,0.92,,,0.9146763987,,
4.7,0.94,0.9451506734,,,0.9628583029,
4.8,0.96,,0.9092609925,0.9545285517,,
4.9,0.98,0.9822514653,0.9306723089,,,0.9991100204
5,1,1.0172943473,0.9642415363,0.9736661013,,
